level,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,battle_pttid,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,recommend_actors,actor,dialog,level_desc
119,,,,20119,ADD_RESOURCE,ACTOR_EXP,6000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,110,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
120,,,,20120,ADD_RESOURCE,ACTOR_EXP,6000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,89,3,,104,贪心不足蛇吞象，你最渴求的又是什么呢？,玄铁盾兵深入玄铁，牢不可破，但若是利用魔法攻击较高的伙伴，则可有效破除他的盾防。
121,,,,20121,ADD_RESOURCE,ACTOR_EXP,6500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,222,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
122,,,,20122,ADD_RESOURCE,ACTOR_EXP,6500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,213,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
123,,,,20123,ADD_RESOURCE,ACTOR_EXP,6500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,106, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
124,,,,20124,ADD_RESOURCE,ACTOR_EXP,6500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,107,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
125,,,,20125,ADD_RESOURCE,ACTOR_EXP,6500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,22,1,,109,未央听不懂你在说什么呢。,公公心中盘算着不可告人的秘密，若其受到伤害，他的手下则将双倍奉还。
126,,,,20126,ADD_RESOURCE,ACTOR_EXP,6500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,230,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
127,,,,20127,ADD_RESOURCE,ACTOR_EXP,6500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,227,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
128,,,,20128,ADD_RESOURCE,ACTOR_EXP,6500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,230, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
129,,,,20129,ADD_RESOURCE,ACTOR_EXP,6500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,104,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
130,,,,20130,ADD_RESOURCE,ACTOR_EXP,6500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,22,1,,104,你想要陪小黑玩耍吗？,精通炼制丹药的天师，能够消耗自己的生命还达成起死回生，对他率先进行集火攻击，不给其复活同伴的机会才是最好的选择。
131,,,,20131,ADD_RESOURCE,ACTOR_EXP,7000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,230,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
132,,,,20132,ADD_RESOURCE,ACTOR_EXP,7000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,227,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
133,,,,20133,ADD_RESOURCE,ACTOR_EXP,7000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,104, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
134,,,,20134,ADD_RESOURCE,ACTOR_EXP,7000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,109,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
135,,,,20135,ADD_RESOURCE,ACTOR_EXP,7000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,8009,1,,106,站在那位殿下身边的，本该是我啊……,国色天香的第一美人李长乐，精通医术，应率先集火或控制她，才能将其一举拿下。
136,,,,20136,ADD_RESOURCE,ACTOR_EXP,7000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,223,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
137,,,,20137,ADD_RESOURCE,ACTOR_EXP,7000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,210,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
138,,,,20138,ADD_RESOURCE,ACTOR_EXP,7000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,103, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
139,,,,20139,ADD_RESOURCE,ACTOR_EXP,7000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,110,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
140,,,,20140,ADD_RESOURCE,ACTOR_EXP,7000,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,6903,1,,102,选择站在你的身边，我已经分不清是对是错了。,护法天师使用法术护体，使人无法对他的其他同伴造成高额伤害，可率先集火护法天师，将其消灭。
141,,,,20141,ADD_RESOURCE,ACTOR_EXP,7500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,211,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
142,,,,20142,ADD_RESOURCE,ACTOR_EXP,7500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,210,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
143,,,,20143,ADD_RESOURCE,ACTOR_EXP,7500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,206, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
144,,,,20144,ADD_RESOURCE,ACTOR_EXP,7500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,203,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
145,,,,20145,ADD_RESOURCE,ACTOR_EXP,7500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,20,ADD_ITEM,8009,1,,107,为了得到我想要的，我可以不惜一切代价。,单于是匈奴人的精神指引，失去他悲愤的战士将变得坚不可摧，因而应留住单于，最后将其一举拿下。
146,,,,20146,ADD_RESOURCE,ACTOR_EXP,7500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,109,离远点儿，弄脏了我的衣服你可赔不起！,十回合内击杀怪物
147,,,,20147,ADD_RESOURCE,ACTOR_EXP,7500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,210,劝你不要敬酒不吃吃罚酒！,十回合内击杀怪物
148,,,,20148,ADD_RESOURCE,ACTOR_EXP,7500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,103, 敢挑战我？恐怕是吃了熊心豹子胆。,十回合内击杀怪物
149,,,,20149,ADD_RESOURCE,ACTOR_EXP,7500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,,,,,,,,106,你恐怕是不知道天高地厚四个字怎么写吧！,十回合内击杀怪物
150,,,,20150,ADD_RESOURCE,ACTOR_EXP,7500,DROP,50000,1,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,TIAN_SHU_MO,50,ADD_ITEM,6903,1,,110,终于还是来到你我刀剑相向的这一天了吗？,本密室内隐藏着多个拥有特殊能力的怪物，请搭配合理的阵容和击杀顺序。
