id,name,icon,original_price,price,discount,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,first_events.events.type,first_events.events.arg,first_events.events.arg,days,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events_mail,yunying_id,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_percent,merge_change_name_mail,type
1419,限时高月离礼包3,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,104,20,,,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1419,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,104,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,,
1500,每日诗会函礼包,icon/item/giftbox_3,200,68,300,ADD_RESOURCE,VIP_EXP,680,,,ADD_RESOURCE,COUPON_B,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1500,ADD_RESOURCE,VIP_EXP,340,ADD_RESOURCE,COUPON_B,10,,,,,,,,,,,,,,,,,,,2000,,
1501,开服七日体力礼包,icon/item/giftbox_2,36,12,300,ADD_RESOURCE,VIP_EXP,120,,,ADD_RESOURCE,DIAMOND,120,,,ADD_RESOURCE,POWER,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1501,ADD_RESOURCE,VIP_EXP,60,ADD_RESOURCE,POWER,120,ADD_RESOURCE,DIAMOND,120,,,,,,,,,,,,,,,,2000,,
1502,超值学识礼包,icon/item/giftbox_1,170,18,100,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,33,3,,,ADD_ITEM,41,3,,,ADD_ITEM,37,3,,,ADD_ITEM,32,5,,,ADD_ITEM,40,5,,,ADD_ITEM,36,5,,,,,,,,,,,,,,,,,,,,,,,,,ks1502,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,33,3,ADD_ITEM,41,3,ADD_ITEM,36,3,ADD_ITEM,32,5,ADD_ITEM,40,5,ADD_ITEM,36,5,,,,2000,,
1503,超值诰封礼包,icon/item/giftbox_1,150,18,120,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,50,200,,,ADD_ITEM,51,2,,,ADD_ITEM,54,2,,,ADD_ITEM,57,2,,,ADD_ITEM,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1503,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,50,200,ADD_ITEM,51,2,ADD_ITEM,54,2,ADD_ITEM,57,2,ADD_ITEM,60,2,,,,,,,2000,,
1504,超值花魂养成礼包,icon/item/giftbox_1,170,18,100,ADD_RESOURCE,VIP_EXP,180,,,ADD_EQUIPMENT,1003,1,,,ADD_EQUIPMENT,1002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1504,ADD_RESOURCE,VIP_EXP,90,ADD_EQUIPMENT,1003,1,ADD_EQUIPMENT,1002,1,,,,,,,,,,,,,,,,2000,,
1505,超值花魂突破礼包,icon/item/giftbox_1,150,18,120,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,85,1,,,ADD_ITEM,84,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1505,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,85,1,ADD_ITEM,84,3,,,,,,,,,,,,,,,,2000,,
1506,超值花魂洗练礼包,icon/item/giftbox_1,150,18,120,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1506,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,24,6,,,,,,,,,,,,,,,,,,,2000,,
1507,超值红鸾星魂礼包,icon/item/giftbox_1,170,18,100,ADD_RESOURCE,VIP_EXP,180,,,ADD_RESOURCE,STAR_SOUL,200,,,ADD_RESOURCE,FENG_YU,10,,,ADD_RESOURCE,STAR_IRON,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1507,ADD_RESOURCE,VIP_EXP,90,ADD_RESOURCE,STAR_SOUL,200,ADD_RESOURCE,FENG_YU,10,ADD_RESOURCE,STAR_IRON,10,,,,,,,,,,,,,2000,,
1508,超值时装养成礼包,icon/item/giftbox_1,150,18,120,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,5005,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1508,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,5005,10,,,,,,,,,,,,,,,,,,,2000,,
1600,限时拓跋浚礼包壹,icon/item/giftbox_1,1288,128,100,ADD_RESOURCE,VIP_EXP,1280,,,ACTOR_ADD_SKIN,10202,,,,ADD_ITEM,102,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1600,ADD_RESOURCE,VIP_EXP,640,ADD_ITEM,102,30,ACTOR_ADD_SKIN,10202,,,,,,,,,,,,,,,,,2000,True,
1601,限时拓跋浚礼包贰,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,102,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1601,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,102,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1602,限时拓跋浚礼包叁,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,102,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1602,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,102,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1603,限时李未央礼包壹,icon/item/giftbox_1,1288,128,100,ADD_RESOURCE,VIP_EXP,1280,,,ACTOR_ADD_SKIN,10903,,,,ADD_ITEM,109,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1603,ADD_RESOURCE,VIP_EXP,640,ADD_ITEM,109,30,ACTOR_ADD_SKIN,10903,,,,,,,,,,,,,,,,,2000,True,
1604,限时李未央礼包贰,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,109,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1604,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,109,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1605,限时李未央礼包叁,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,109,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1605,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,109,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1606,限时拓跋余礼包壹,icon/item/giftbox_1,1288,128,100,ADD_RESOURCE,VIP_EXP,1280,,,ACTOR_ADD_SKIN,10301,,,,ADD_ITEM,103,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1606,ADD_RESOURCE,VIP_EXP,640,ADD_ITEM,103,30,ACTOR_ADD_SKIN,10301,,,,,,,,,,,,,,,,,2000,True,
1607,限时拓跋余礼包贰,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,103,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1607,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,103,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1608,限时拓跋余礼包叁,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,103,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1608,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,103,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1609,限时拓跋瑾礼包壹,icon/item/giftbox_1,1288,128,100,ADD_RESOURCE,VIP_EXP,1280,,,ACTOR_ADD_SKIN,10501,,,,ADD_ITEM,105,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1609,ADD_RESOURCE,VIP_EXP,640,ADD_ITEM,105,30,ACTOR_ADD_SKIN,10501,,,,,,,,,,,,,,,,,2000,True,
1610,限时拓跋瑾礼包贰,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,105,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1610,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,105,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1611,限时拓跋瑾礼包叁,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,105,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1611,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,105,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1612,限时拓跋迪礼包壹,icon/item/giftbox_1,1288,128,100,ADD_RESOURCE,VIP_EXP,1280,,,ACTOR_ADD_SKIN,10804,,,,ADD_ITEM,108,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1612,ADD_RESOURCE,VIP_EXP,640,ADD_ITEM,108,30,ACTOR_ADD_SKIN,10804,,,,,,,,,,,,,,,,,2000,True,
1613,限时拓跋迪礼包贰,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,108,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1613,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,108,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1614,限时拓跋迪礼包叁,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,108,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1614,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,108,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1615,限时高月离礼包壹,icon/item/giftbox_1,1288,128,100,ADD_RESOURCE,VIP_EXP,1280,,,ACTOR_ADD_SKIN,10403,,,,ADD_ITEM,104,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1615,ADD_RESOURCE,VIP_EXP,640,ADD_ITEM,104,30,ACTOR_ADD_SKIN,10403,,,,,,,,,,,,,,,,,2000,True,
1616,限时高月离礼包贰,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,104,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1616,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,104,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1617,限时高月离礼包叁,icon/item/giftbox_1,888,98,100,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,680,,,ADD_ITEM,104,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks1617,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,104,20,ADD_RESOURCE,DIAMOND,680,,,,,,,,,,,,,,,,2000,True,
1618,稀有木兰礼包,icon/item/giftbox_1,1800,258,150,ADD_RESOURCE,VIP_EXP,2580,,,ADD_RESOURCE,DIAMOND,2580,,,ADD_EQUIPMENT,2011,4,,,ADD_EQUIPMENT,2012,4,,,ADD_EQUIPMENT,2013,4,,,ADD_EQUIPMENT,2014,4,,,ADD_EQUIPMENT,2015,4,,,ADD_EQUIPMENT,2016,4,,,,,,,,,,,,,,,,,,,,ks1618,ADD_RESOURCE,VIP_EXP,1290,ADD_RESOURCE,DIAMOND,2580,ADD_EQUIPMENT,2011,4,ADD_EQUIPMENT,2012,4,ADD_EQUIPMENT,2013,4,ADD_EQUIPMENT,2014,4,ADD_EQUIPMENT,2015,4,ADD_EQUIPMENT,2016,4,2000,True,
1619,稀有白牡丹礼包,icon/item/giftbox_1,1800,258,150,ADD_RESOURCE,VIP_EXP,2580,,,ADD_RESOURCE,DIAMOND,2580,,,ADD_EQUIPMENT,2021,4,,,ADD_EQUIPMENT,2022,4,,,ADD_EQUIPMENT,2023,4,,,ADD_EQUIPMENT,2024,4,,,ADD_EQUIPMENT,2025,4,,,ADD_EQUIPMENT,2026,4,,,,,,,,,,,,,,,,,,,,ks1619,ADD_RESOURCE,VIP_EXP,1290,ADD_RESOURCE,DIAMOND,2580,ADD_EQUIPMENT,2021,4,ADD_EQUIPMENT,2022,4,ADD_EQUIPMENT,2023,4,ADD_EQUIPMENT,2024,4,ADD_EQUIPMENT,2025,4,ADD_EQUIPMENT,2026,4,2000,True,
1620,稀有紫阳花礼包,icon/item/giftbox_1,1800,258,150,ADD_RESOURCE,VIP_EXP,2580,,,ADD_RESOURCE,DIAMOND,2580,,,ADD_EQUIPMENT,2031,4,,,ADD_EQUIPMENT,2032,4,,,ADD_EQUIPMENT,2033,4,,,ADD_EQUIPMENT,2034,4,,,ADD_EQUIPMENT,2035,4,,,ADD_EQUIPMENT,2036,4,,,,,,,,,,,,,,,,,,,,ks1620,ADD_RESOURCE,VIP_EXP,1290,ADD_RESOURCE,DIAMOND,2580,ADD_EQUIPMENT,2031,4,ADD_EQUIPMENT,2032,4,ADD_EQUIPMENT,2033,4,ADD_EQUIPMENT,2034,4,ADD_EQUIPMENT,2035,4,ADD_EQUIPMENT,2036,4,2000,True,
1621,稀有锦葵礼包,icon/item/giftbox_1,1800,258,150,ADD_RESOURCE,VIP_EXP,2580,,,ADD_RESOURCE,DIAMOND,2580,,,ADD_EQUIPMENT,2041,4,,,ADD_EQUIPMENT,2042,4,,,ADD_EQUIPMENT,2043,4,,,ADD_EQUIPMENT,2044,4,,,ADD_EQUIPMENT,2045,4,,,ADD_EQUIPMENT,2046,4,,,,,,,,,,,,,,,,,,,,ks1621,ADD_RESOURCE,VIP_EXP,1290,ADD_RESOURCE,DIAMOND,2580,ADD_EQUIPMENT,2041,4,ADD_EQUIPMENT,2042,4,ADD_EQUIPMENT,2043,4,ADD_EQUIPMENT,2044,4,ADD_EQUIPMENT,2045,4,ADD_EQUIPMENT,2046,4,2000,True,
1622,稀有春黄礼包,icon/item/giftbox_1,1800,258,150,ADD_RESOURCE,VIP_EXP,2580,,,ADD_RESOURCE,DIAMOND,2580,,,ADD_EQUIPMENT,2051,4,,,ADD_EQUIPMENT,2052,4,,,ADD_EQUIPMENT,2053,4,,,ADD_EQUIPMENT,2054,4,,,ADD_EQUIPMENT,2055,4,,,ADD_EQUIPMENT,2056,4,,,,,,,,,,,,,,,,,,,,ks1622,ADD_RESOURCE,VIP_EXP,1290,ADD_RESOURCE,DIAMOND,2580,ADD_EQUIPMENT,2051,4,ADD_EQUIPMENT,2052,4,ADD_EQUIPMENT,2053,4,ADD_EQUIPMENT,2054,4,ADD_EQUIPMENT,2055,4,ADD_EQUIPMENT,2056,4,2000,True,
1623,稀有梨花礼包,icon/item/giftbox_1,1800,258,150,ADD_RESOURCE,VIP_EXP,2580,,,ADD_RESOURCE,DIAMOND,2580,,,ADD_EQUIPMENT,2061,4,,,ADD_EQUIPMENT,2062,4,,,ADD_EQUIPMENT,2063,4,,,ADD_EQUIPMENT,2064,4,,,ADD_EQUIPMENT,2065,4,,,ADD_EQUIPMENT,2066,4,,,,,,,,,,,,,,,,,,,,ks1623,ADD_RESOURCE,VIP_EXP,1290,ADD_RESOURCE,DIAMOND,2580,ADD_EQUIPMENT,2061,4,ADD_EQUIPMENT,2062,4,ADD_EQUIPMENT,2063,4,ADD_EQUIPMENT,2064,4,ADD_EQUIPMENT,2065,4,ADD_EQUIPMENT,2066,4,2000,True,
1624,稀有昙花礼包,icon/item/giftbox_1,1800,258,150,ADD_RESOURCE,VIP_EXP,2580,,,ADD_RESOURCE,DIAMOND,2580,,,ADD_EQUIPMENT,2071,4,,,ADD_EQUIPMENT,2072,4,,,ADD_EQUIPMENT,2073,4,,,ADD_EQUIPMENT,2074,4,,,ADD_EQUIPMENT,2075,4,,,ADD_EQUIPMENT,2076,4,,,,,,,,,,,,,,,,,,,,ks1624,ADD_RESOURCE,VIP_EXP,1290,ADD_RESOURCE,DIAMOND,2580,ADD_EQUIPMENT,2071,4,ADD_EQUIPMENT,2072,4,ADD_EQUIPMENT,2073,4,ADD_EQUIPMENT,2074,4,ADD_EQUIPMENT,2075,4,ADD_EQUIPMENT,2076,4,2000,True,
1625,稀有桔梗礼包,icon/item/giftbox_1,1800,258,150,ADD_RESOURCE,VIP_EXP,2580,,,ADD_RESOURCE,DIAMOND,2580,,,ADD_EQUIPMENT,2081,4,,,ADD_EQUIPMENT,2082,4,,,ADD_EQUIPMENT,2083,4,,,ADD_EQUIPMENT,2084,4,,,ADD_EQUIPMENT,2085,4,,,ADD_EQUIPMENT,2086,4,,,,,,,,,,,,,,,,,,,,ks1625,ADD_RESOURCE,VIP_EXP,1290,ADD_RESOURCE,DIAMOND,2580,ADD_EQUIPMENT,2081,4,ADD_EQUIPMENT,2082,4,ADD_EQUIPMENT,2083,4,ADD_EQUIPMENT,2084,4,ADD_EQUIPMENT,2085,4,ADD_EQUIPMENT,2086,4,2000,True,
1626,稀有蔷薇礼包,icon/item/giftbox_1,1800,258,150,ADD_RESOURCE,VIP_EXP,2580,,,ADD_RESOURCE,DIAMOND,2580,,,ADD_EQUIPMENT,2091,4,,,ADD_EQUIPMENT,2092,4,,,ADD_EQUIPMENT,2093,4,,,ADD_EQUIPMENT,2094,4,,,ADD_EQUIPMENT,2095,4,,,ADD_EQUIPMENT,2096,4,,,,,,,,,,,,,,,,,,,,ks1626,ADD_RESOURCE,VIP_EXP,1290,ADD_RESOURCE,DIAMOND,2580,ADD_EQUIPMENT,2091,4,ADD_EQUIPMENT,2092,4,ADD_EQUIPMENT,2093,4,ADD_EQUIPMENT,2094,4,ADD_EQUIPMENT,2095,4,ADD_EQUIPMENT,2096,4,2000,True,
2001,30级限时礼包,icon/item/giftbox_1,150,6,50,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,1,10,,,ADD_RESOURCE,TIAN_SHU_MO,100,,,ADD_ITEM,50,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks2001,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,1,10,ADD_RESOURCE,TIAN_SHU_MO,100,ADD_ITEM,50,200,,,,,,,,,,,,,2000,True,
2002,50级限时礼包,icon/item/giftbox_1,200,6,50,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,20,3,,,ADD_ITEM,19,3,,,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks2002,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,20,3,ADD_ITEM,19,3,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,,,,2000,True,
2003,60级限时礼包,icon/item/giftbox_1,200,6,50,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks2003,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,85,2,,,,,,,,,,,,,,,,,,,2000,True,
2004,40级限时礼包,icon/item/giftbox_1,200,6,50,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,92,10,,,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks2004,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,92,10,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,,,,,,,2000,True,
10101,超值学识礼包1,icon/item/giftbox_1,20,1,50,ADD_RESOURCE,VIP_EXP,10,,,ADD_ITEM,32,4,,,ADD_ITEM,40,4,,,ADD_ITEM,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10101,ADD_RESOURCE,VIP_EXP,5,ADD_ITEM,32,4,ADD_ITEM,40,4,ADD_ITEM,36,4,,,,,,,,,,,,,2000,True,
10102,超值学识礼包2,icon/item/giftbox_1,50,6,50,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,32,8,,,ADD_ITEM,40,8,,,ADD_ITEM,36,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10102,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,32,8,ADD_ITEM,40,8,ADD_ITEM,36,8,,,,,,,,,,,,,2000,True,
10103,超值学识礼包3,icon/item/giftbox_1,50,6,50,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,32,8,,,ADD_ITEM,40,8,,,ADD_ITEM,36,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10103,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,32,8,ADD_ITEM,40,8,ADD_ITEM,36,8,,,,,,,,,,,,,2000,True,
10104,超值学识礼包4,icon/item/giftbox_1,80,18,100,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,32,12,,,ADD_ITEM,40,12,,,ADD_ITEM,36,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10104,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,32,12,ADD_ITEM,40,12,ADD_ITEM,36,12,,,,,,,,,,,,,2000,True,
10105,超值学识礼包5,icon/item/giftbox_1,80,18,100,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,32,12,,,ADD_ITEM,40,12,,,ADD_ITEM,36,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10105,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,32,12,ADD_ITEM,40,12,ADD_ITEM,36,12,,,,,,,,,,,,,2000,True,
10106,超值学识礼包6,icon/item/giftbox_1,150,68,200,ADD_RESOURCE,VIP_EXP,680,,,ADD_ITEM,32,20,,,ADD_ITEM,40,20,,,ADD_ITEM,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10106,ADD_RESOURCE,VIP_EXP,340,ADD_ITEM,32,20,ADD_ITEM,40,20,ADD_ITEM,36,20,,,,,,,,,,,,,2000,True,
10107,超值学识礼包7,icon/item/giftbox_1,150,68,200,ADD_RESOURCE,VIP_EXP,680,,,ADD_ITEM,32,20,,,ADD_ITEM,40,20,,,ADD_ITEM,36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10107,ADD_RESOURCE,VIP_EXP,340,ADD_ITEM,32,20,ADD_ITEM,40,20,ADD_ITEM,36,20,,,,,,,,,,,,,2000,True,
10108,超值学识礼包8,icon/item/giftbox_1,200,98,300,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,32,30,,,ADD_ITEM,40,30,,,ADD_ITEM,36,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10108,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,32,30,ADD_ITEM,40,30,ADD_ITEM,36,30,,,,,,,,,,,,,2000,True,
10201,超值花魂养成礼包1,icon/item/giftbox_1,20,1,50,ADD_RESOURCE,VIP_EXP,10,,,ADD_ITEM,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10201,ADD_RESOURCE,VIP_EXP,5,ADD_ITEM,19,2,,,,,,,,,,,,,,,,,,,2000,True,
10202,超值花魂养成礼包2,icon/item/giftbox_1,50,6,50,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10202,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,19,5,,,,,,,,,,,,,,,,,,,2000,True,
10203,超值花魂养成礼包3,icon/item/giftbox_1,50,6,50,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10203,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,19,5,,,,,,,,,,,,,,,,,,,2000,True,
10204,超值花魂养成礼包4,icon/item/giftbox_1,80,18,100,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10204,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,19,8,,,,,,,,,,,,,,,,,,,2000,True,
10205,超值花魂养成礼包5,icon/item/giftbox_1,80,18,100,ADD_RESOURCE,VIP_EXP,180,,,ADD_ITEM,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10205,ADD_RESOURCE,VIP_EXP,90,ADD_ITEM,19,8,,,,,,,,,,,,,,,,,,,2000,True,
10206,超值花魂养成礼包6,icon/item/giftbox_1,150,68,200,ADD_RESOURCE,VIP_EXP,680,,,ADD_ITEM,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10206,ADD_RESOURCE,VIP_EXP,340,ADD_ITEM,19,15,,,,,,,,,,,,,,,,,,,2000,True,
