id,content,boxes.answer,boxes.activity,boxes.events.events.type,boxes.events.events.arg,boxes.events.events.arg,boxes.atmosphere,boxes.answer,boxes.activity,boxes.events.events.type,boxes.events.events.arg,boxes.events.events.arg,boxes.atmosphere,boxes.answer,boxes.activity,boxes.events.events.type,boxes.events.events.arg,boxes.events.events.arg,boxes.atmosphere
300,二人一同到少林,待,70,DROP,15000,1,15,促,30,,,,5,寺,30,,,,5
301,帆影归来带散香,棉,70,DROP,15000,1,15,吕,30,,,,5,但,30,,,,5
302,翻开日记写人生,借,70,DROP,15000,1,15,弼,30,,,,5,有,30,,,,5
303,凡心合随江水逝,恐,70,DROP,15000,1,15,逢,30,,,,5,人,30,,,,5
304,方离故国心低沉,惑,70,DROP,15000,1,15,裕,30,,,,5,二,30,,,,5
305,芳草离离生塘边,坊,70,DROP,15000,1,15,鸬,30,,,,5,明,30,,,,5
306,房后竹篱月影残,翩,70,DROP,15000,1,15,树,30,,,,5,果,30,,,,5
307,仿佛西湖半壁红,江,70,DROP,15000,1,15,非,30,,,,5,必,30,,,,5
308,飞鸿阵阵过横江,丝,70,DROP,15000,1,15,蛋,30,,,,5,东,30,,,,5
309,飞舞蝴蝶戏蕊间,恋,70,DROP,15000,1,15,尧,30,,,,5,秃,30,,,,5
310,分明月色若镰钩,旬,70,DROP,15000,1,15,晋,30,,,,5,闲,30,,,,5
311,汾水横流映残月,忿,70,DROP,15000,1,15,百,30,,,,5,亚,30,,,,5
312,丰收在望,稿,70,DROP,15000,1,15,省,30,,,,5,鲜,30,,,,5
313,风吹草低见牛羊,蓄,70,DROP,15000,1,15,晴,30,,,,5,裳,30,,,,5
314,风流朋友半绝交,淆,70,DROP,15000,1,15,每,30,,,,5,内,30,,,,5
315,风中空候立终宵,夙,70,DROP,15000,1,15,一,30,,,,5,爽,30,,,,5
316,夫人一去不复还,丕,70,DROP,15000,1,15,罗,30,,,,5, 怡,30,,,,5
317,拂晓姑娘来,妲,70,DROP,15000,1,15,差,30,,,,5,尸,30,,,,5
318,斧头把手已脱落,爸,70,DROP,15000,1,15,穹,30,,,,5,啶,30,,,,5
319,俯首甘为孺子牛,件,70,DROP,15000,1,15,心,30,,,,5,底,30,,,,5
320,甘心去当配角,世,70,DROP,15000,1,15,恐,30,,,,5,帝,30,,,,5
321,干戈一别到异乡,绒,70,DROP,15000,1,15,棉,30,,,,5,桥,30,,,,5
