id,name,icon,day_times_limit,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unlock_conditions.conditions.arg,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unlock_conditions.conditions.arg,challenge_conditions.conditions.type,challenge_conditions.conditions.arg,challenge_conditions.conditions.arg,challenge_conditions.conditions.type,challenge_conditions.conditions.arg,challenge_conditions.conditions.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,first_great_events.events.type,first_great_events.events.arg,first_great_events.events.arg,first_great_events.events.type,first_great_events.events.arg,first_great_events.events.arg,battle_pttid,battle_drop_pttid,show_win_conditions,plot_pttid,huanzhuang_pttid,desc,sweep_conditions.conditions.type,sweep_conditions.conditions.arg
340,第六关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,339,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,218,29,1,,,,,
341,第七关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,340,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,219,29,1,,,,,
342,第八关,icon/touxiang/touxiang_dunbing,99,PASS_ADVENTURE,341,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,220,29,1,,,,,
343,第九关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,342,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,221,29,1,,,,,
344,第十关,icon/touxiang/touxiang_tuobazhen,10,PASS_ADVENTURE,343,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,222,129,1,,,,,
345,第十一关,icon/touxiang/touxiang_tuobazhen,,PASS_ADVENTURE,344,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020,,,,
346,第十二关,icon/touxiang/touxiang_tuobazhen,,PASS_ADVENTURE,345,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5004,1,,,ADD_FEIGE_CHUANWEN,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,,,,
347,第一关,icon/touxiang/touxiang_baizhi,,PASS_ADVENTURE,346,,LEVEL_GE,85,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_ITEM,50009,20,ADD_ITEM,5010,3,,,,,26,俏丽若三春之桃，清素若九秋之菊。,,
348,第二关,icon/touxiang/touxiang_heiyiren,99,PASS_ADVENTURE,347,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,223,30,1,,,,,
349,第三关,icon/touxiang/touxiang_cike,99,PASS_ADVENTURE,348,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,224,30,1,,,,,
350,第四关,icon/touxiang/touxiang_cike,99,PASS_ADVENTURE,349,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,225,30,1,,,,,
351,第五关,icon/touxiang/touxiang_cike,99,PASS_ADVENTURE,350,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,226,30,1,,,,,
352,第六关,icon/touxiang/touxiang_heiyiren,99,PASS_ADVENTURE,351,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,227,30,1,,,,,
353,第七关,icon/touxiang/touxiang_tuobajun,,PASS_ADVENTURE,352,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3090,,,,
354,第八关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,353,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,228,30,1,,,,,
355,第九关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,354,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,229,30,1,,,,,
356,第十关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,355,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,230,30,1,,,,,
357,第十一关,icon/touxiang/touxiang_tuobajun,10,PASS_ADVENTURE,356,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,231,130,1,,,,,
358,第十二关,icon/touxiang/touxiang_tuobajun,,PASS_ADVENTURE,357,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,,,,
359,第一关,icon/touxiang/touxiang_tuobazhen,,PASS_ADVENTURE,358,,LEVEL_GE,88,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3210,,,,
360,第二关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,359,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,232,31,1,,,,,
361,第三关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,360,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,233,31,1,,,,,
362,第四关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,361,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,234,31,1,,,,,
363,第五关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,362,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,235,31,1,,,,,
364,第六关,icon/touxiang/touxiang_tuobazhen,99,PASS_ADVENTURE,363,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,236,31,1,,,,,
365,第七关,icon/touxiang/touxiang_dunbing,,PASS_ADVENTURE,364,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3230,,,,
366,第八关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,365,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,237,31,1,,,,,
367,第九关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,366,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,238,31,1,,,,,
368,第十关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,367,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,41,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,239,31,1,,,,,
369,第十一关,icon/touxiang/touxiang_dunbing,99,PASS_ADVENTURE,368,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,240,31,1,,,,,
370,第十二关,icon/touxiang/touxiang_shibin,10,PASS_ADVENTURE,369,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,5004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,241,131,1,,,,,
371,第一关,icon/touxiang/touxiang_baizhi,,PASS_ADVENTURE,370,,LEVEL_GE,90,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_ITEM,50013,20,ADD_ITEM,5010,3,,,,,27,珠缨旋转星宿摇，花蔓抖擞龙蛇动。,,
372,第二关,icon/touxiang/touxiang_tuobayu,,PASS_ADVENTURE,371,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290,,,,
373,第三关,icon/touxiang/touxiang_tuobayu,99,PASS_ADVENTURE,372,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,242,32,1,,,,,
374,第四关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,373,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,243,32,1,,,,,
375,第五关,icon/touxiang/touxiang_dunbing,99,PASS_ADVENTURE,374,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,244,32,1,,,,,
376,第六关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,375,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,245,32,1,,,,,
377,第七关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,376,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,246,32,1,,,,,
378,第八关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,377,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,247,32,1,,,,,
379,第九关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,378,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,248,32,1,,,,,
380,第十关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,379,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,41,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,249,32,1,,,,,
381,第十一关,icon/touxiang/touxiang_tuobayu,10,PASS_ADVENTURE,380,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,250,132,1,,,,,
382,第十二关,icon/touxiang/touxiang_tuobayu,,PASS_ADVENTURE,381,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,,,,
383,第一关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,382,,LEVEL_GE,93,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,251,33,1,,,,,
384,第二关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,383,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,252,33,1,,,,,
385,第三关,icon/touxiang/touxiang_dunbing,99,PASS_ADVENTURE,384,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,253,33,1,,,,,
386,第四关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,385,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,254,33,1,,,,,
387,第五关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,386,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,255,33,1,,,,,
388,第六关,icon/touxiang/touxiang_dunbing,99,PASS_ADVENTURE,387,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,256,33,1,,,,,
389,第七关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,388,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,257,33,1,,,,,
390,第八关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,389,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,258,33,1,,,,,
391,第九关,icon/touxiang/touxiang_qiangbing,99,PASS_ADVENTURE,390,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,41,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,259,33,1,,,,,
392,第十关,icon/touxiang/touxiang_dunbing,99,PASS_ADVENTURE,391,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,260,33,1,,,,,
393,第十一关,icon/touxiang/touxiang_qiangbing,10,PASS_ADVENTURE,392,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,261,133,1,,,,,
394,第十二关,icon/touxiang/touxiang_qiangbing,,PASS_ADVENTURE,393,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3420,,,,
395,第一关,icon/touxiang/touxiang_shiwei,,PASS_ADVENTURE,394,,LEVEL_GE,95,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3430,,,,
396,第二关,icon/touxiang/touxiang_shiwei,99,PASS_ADVENTURE,395,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,262,34,1,,,,,
397,第三关,icon/touxiang/touxiang_shiwei,99,PASS_ADVENTURE,396,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,263,34,1,,,,,
398,第四关,icon/touxiang/touxiang_shiwei,99,PASS_ADVENTURE,397,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,264,34,1,,,,,
399,第五关,icon/touxiang/touxiang_shiwei,99,PASS_ADVENTURE,398,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,265,34,1,,,,,
400,第六关,icon/touxiang/touxiang_shiwei,99,PASS_ADVENTURE,399,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,266,34,1,,,,,
401,第七关,icon/touxiang/touxiang_shiwei,99,PASS_ADVENTURE,400,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,267,34,1,,,,,
402,第八关,icon/touxiang/touxiang_shiwei,99,PASS_ADVENTURE,401,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,268,34,1,,,,,
403,第九关,icon/touxiang/touxiang_shiwei,99,PASS_ADVENTURE,402,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,41,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,269,34,1,,,,,
