level,organizer_rewards.events.type,organizer_rewards.events.arg,organizer_rewards.events.arg,organizer_rewards.events.type,organizer_rewards.events.arg,organizer_rewards.events.arg,attendee_rewards.events.type,attendee_rewards.events.arg,attendee_rewards.events.arg,organizer_extra_rewards.events.type,organizer_extra_rewards.events.arg,organizer_extra_rewards.events.arg,attendee_extra_rewards.events.type,attendee_extra_rewards.events.arg,attendee_extra_rewards.events.arg
105,ADD_RESOURCE,MANSION_FURNITURE_COIN,5750,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1250,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
106,ADD_RESOURCE,MANSION_FURNITURE_COIN,5800,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1260,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
107,ADD_RESOURCE,MANSION_FURNITURE_COIN,5850,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1270,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
108,ADD_RESOURCE,MANSION_FURNITURE_COIN,5900,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1280,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
109,ADD_RESOURCE,MANSION_FURNITURE_COIN,5950,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1290,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
110,ADD_RESOURCE,MANSION_FURNITURE_COIN,6000,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1300,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
111,ADD_RESOURCE,MANSION_FURNITURE_COIN,6050,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1310,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
112,ADD_RESOURCE,MANSION_FURNITURE_COIN,6100,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1320,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
113,ADD_RESOURCE,MANSION_FURNITURE_COIN,6150,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1330,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
114,ADD_RESOURCE,MANSION_FURNITURE_COIN,6200,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1340,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
115,ADD_RESOURCE,MANSION_FURNITURE_COIN,6250,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1350,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
116,ADD_RESOURCE,MANSION_FURNITURE_COIN,6300,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1360,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
117,ADD_RESOURCE,MANSION_FURNITURE_COIN,6350,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1370,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
118,ADD_RESOURCE,MANSION_FURNITURE_COIN,6400,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1380,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
119,ADD_RESOURCE,MANSION_FURNITURE_COIN,6450,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1390,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
120,ADD_RESOURCE,MANSION_FURNITURE_COIN,6500,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,1400,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
