id,name,female_plot,male_plot,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,next_plot,events.events.type,events.events.arg,events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,lock_option
401340,,,,DIALOG_BUBBLE,到目前为止算是一帆风顺，可天子脚下，自是根错节，你一个人始终不安全。,4,soundeffects/411340,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401350,,,,DIALOG_BUBBLE,这里可以看到那些正在招募人手的家族。,1,soundeffects/411350,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401360,,,,DIALOG_BUBBLE,当然，你可以建立自己的家族，只是要支付一定费用。,3,soundeffects/411360,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401370,,,,DIALOG_BUBBLE,进入锦绣台，便是属于霓裳华彩的天地，准备好你最喜欢的衣服去吧。,3,soundeffects/411370,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401380,,,,DIALOG_BUBBLE,我们可以在这里看见其他人的各式搭配。,3,soundeffects/411380,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401390,,,,DIALOG_BUBBLE,我们获得的锦绣礼券可以在这里换东西。,3,soundeffects/411390,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401400,,,,DIALOG_BUBBLE,要还是有不懂的就看这里。,3,soundeffects/411400,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401410,,,,DIALOG_BUBBLE,一将功成万骨枯，在这里，你可以了解到各个人物的秘辛。,3,soundeffects/411410,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401420,,,,DIALOG_BUBBLE,让我们先来看看红罗的故事吧。,2,soundeffects/411420,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401430,,,,DIALOG_BUBBLE,每个人物都有好几个故事，记得这里选择后续的挑战。,3,soundeffects/411430,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401440,,,,DIALOG_BUBBLE,从今天开始……你也有自己要管理的地方了，恐怕我们见面的机会会变少吧。,2,soundeffects/411440,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401450,,,,DIALOG_BUBBLE,好了，接下来逛逛你的封地吧。,2,soundeffects/411450,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401460,,,,DIALOG_BUBBLE,这里可以查看和更换我们在封地驻守或战斗的阵容。,3,soundeffects/411460,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401470,,,,DIALOG_BUBBLE,这里点开可以看具体信息。,4,soundeffects/411470,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401480,,,,DIALOG_BUBBLE,通过完成封地事件获得，升级酒馆，商会可以增加增长速度。,2,soundeffects/411480,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401490,,,,DIALOG_BUBBLE,通过完成封地事件获得，升级城防可以增加增长速度。,2,soundeffects/411490,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401500,,,,DIALOG_BUBBLE,通过完成封地事件获得，升级矿场，布庄可以增加增长速度。,2,soundeffects/411500,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401510,,,,DIALOG_BUBBLE,通过完成封地事件获得，升级医馆可以增加增长速度。,2,soundeffects/411510,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401520,,,,DIALOG_BUBBLE,城里有事发生？我们快去看看吧！,2,soundeffects/411520,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401530,,,,DIALOG_BUBBLE,这里可以随意安排谁来管理你的封地，具有才能的管理者可获得更高的收益。,1,soundeffects/411530,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401540,,,,DIALOG_BUBBLE,这里会出现需要你亲自处理的事物，要注意感叹号。,1,soundeffects/411540,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401550,,,,DIALOG_BUBBLE,选择你要处理的事件。,1,soundeffects/411550,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401560,,,,DIALOG_BUBBLE,随着等级的提升，已经满足再次晋升官品的条件了。,1,soundeffects/411560,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401570,,,,DIALOG_BUBBLE,考官拓跋翰，这次的题目依然是和服饰穿着相关。,2,soundeffects/411570,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401580,,,,DIALOG_BUBBLE,我们来参加正九品考核。,2,soundeffects/411580,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401590,,,,DIALOG_BUBBLE,我们先推开第一扇门吧。,1,soundeffects/411590,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401600,,,,DIALOG_BUBBLE,每天都会有重置的机会不要忘了。,1,soundeffects/411600,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401610,,,,DIALOG_BUBBLE,当你打不过时记得看看这，有其他人通关的记录。,1,soundeffects/411610,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401620,,,,DIALOG_BUBBLE,现在开始我们的挑战。,3,soundeffects/411620,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401630,,,,DIALOG_BUBBLE,快点击这里，锦绣世界已经为你准备好了精彩隆重的迎接活动！,1,soundeffects/401630,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401640,,,,DIALOG_BUBBLE,这里你可以看到各种精彩纷呈的活动。,2,soundeffects/401640,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401650,,,,DIALOG_BUBBLE,红点代表这里有丰厚的奖励等待你的领取，快点击切换。,1,soundeffects/401650,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401660,,,,DIALOG_BUBBLE,来领取第一天的奖励吧，完成对应的任务还能获得更多的丰厚奖励。,1,soundeffects/401660,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401670,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
401680,,,,DIALOG_BUBBLE,点击制作按钮，可以进入时装制作界面。,1,soundeffects/401680,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401690,,,,DIALOG_BUBBLE,点击这里，选择想要制作的时装部件。,2,soundeffects/401690,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401700,,,,DIALOG_BUBBLE,先选择这款我们想要制作的发型。,2,soundeffects/401700,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401710,,,,DIALOG_BUBBLE,这里，会显示准备制作时装的所需条件。,1,soundeffects/401710,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401720,,,,DIALOG_BUBBLE,这里，会显示每件时装所需要的制作材料。,1,soundeffects/401720,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401730,,,,DIALOG_BUBBLE,点击制作按钮确认制作时装。,3,soundeffects/401730,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401740,,,,DIALOG_BUBBLE,我们已经完成了这款发型的制作，我们再来制作一件衣服。,2,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401750,,,,DIALOG_BUBBLE,点击第一个按钮，选择衣服。,2,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401760,,,,DIALOG_BUBBLE,就是这件衣服了，点击制作按钮，完成制作。,3,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401770,,,,DIALOG_BUBBLE,当使用技能攻击地方时，会让敌方所在的九宫格亮起。,3,soundeffects/401770,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401780,,,,DIALOG_BUBBLE,没有人站的格子需要我们用群攻技能来点亮。,3,soundeffects/401780,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401790,,,,DIALOG_BUBBLE,当九个格子都点亮后，这里会亮起一颗魂精，最多可以点亮5次来获得最高的等级。,3,soundeffects/401790,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401800,,,,DIALOG_BUBBLE,如果忘了可以点击这里，随时观看玩法说明。,1,soundeffects/401800,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401830,,,,DIALOG_BUBBLE,这么好的衣服，我们当然要强化一番。,1,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401840,,,,DIALOG_BUBBLE,点击强化按钮来开始强化。,3,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401850,,,,DIALOG_BUBBLE,点击来选择强化道具的数量。,2,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401860,,,,DIALOG_BUBBLE,点击确认强化来完成最后的制作。,3,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401870,,,,DIALOG_BUBBLE,完成任务，你可以得到贡献和家族资金，以及你在家族互通贸易中使用的道具行事文书。,2,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401880,,,,DIALOG_BUBBLE,这里都是家族的敌人，大家一起铲除他们吧。,2,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401890,,,,DIALOG_BUBBLE,获得的贡献可以在这里兑换你需要的道具，随着等级的提高货物将越来越丰富。,2,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401900,,,,DIALOG_BUBBLE,这是你的家族总管，他会告诉你家族的主要信息。,2,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
401910,,,,DIALOG_BUBBLE,这里会有人挂福袋，可以获得金饼，时常来看看。,2,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,
499998,,,,HIGHLIGHT,,,,HAND_SLIDE,,,,,,,,,,,,,,,,,
499999,,,,HIGHLIGHT,,,,HAND,,,,,,,,,,,,,,,,,
