id,delay,content,responses.content,responses.next_messages,responses.content,responses.next_messages,responses.content,responses.next_messages
1747,1.5,有什么不行的！就像本公主今天这样教训他们，看他们敢说什么！#算了算了，本公主练剑去了。,,,,,,
1748,1.5,有什么不行的！就像本公主今天这样教训他们，看他们敢说什么！#算了算了，本公主练剑去了。,,,,,,
1749,1.5,对啊，大不了以后撕破了，你来宫里陪本公主玩，绝对比待在那里舒服。#好了好了，本公主练剑去了。,,,,,,
1750,1.5,二姐，做菜其实有一个很大的窍门，不过很多人都不清楚。,窍门？常茹你快点教教我，我正在发愁呢。,1751,做菜不是放到锅里炒熟了就好吗？,1755,啊？之前你教我的时候难道没说吗？,1759
1751,1.5,二姐先不要急，你觉得做菜最重要的事什么？,当然是好吃了！,1752,色香味俱全，用尽昂贵的食材！,1753,嗯……好像什么都重要，分不出来。,1754
1752,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1753,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1754,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1755,1.5,能把菜做出来固然是基本，但并不止于此。#二姐你觉得做菜最重要的是什么？,当然是好吃了！,1756,色香味俱全，用尽昂贵的食材！,1757,嗯……好像什么都重要，分不出来。,1758
1756,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1757,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1758,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1759,1.5,不是常茹藏私，等二姐听完下面的问题，就自然明白了。#二姐你觉得做菜最重要的是什么？,当然是好吃了！,1760,色香味俱全，用尽昂贵的食材！,1761,嗯……好像什么都重要，分不出来。,1762
1760,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1761,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1762,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1763,1.5,二哥，做菜其实有一个很大的窍门，不过很多人都不清楚。,窍门？常茹你快点教教我，我正在发愁呢。,1764,做菜不是放到锅里炒熟了就好吗？,1768,啊？之前你教我的时候难道没说吗？,1772
1764,1.5,二哥先不要急，你觉得做菜最重要的事什么？,当然是好吃了！,1765,色香味俱全，用尽昂贵的食材！,1766,嗯……好像什么都重要，分不出来。,1767
1765,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1766,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1767,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1768,1.5,能把菜做出来固然是基本，但并不止于此。#二哥你觉得做菜最重要的是什么？,当然是好吃了！,1769,色香味俱全，用尽昂贵的食材！,1770,嗯……好像什么都重要，分不出来。,1771
1769,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1770,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1771,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1772,1.5,不是常茹藏私，等二哥听完下面的问题，就自然明白了。#二哥你觉得做菜最重要的是什么？,当然是好吃了！,1773,色香味俱全，用尽昂贵的食材！,1774,嗯……好像什么都重要，分不出来。,1775
1773,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1774,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1775,1.5,嘻嘻，其实如果真的想为某个人做菜，那做菜的最大窍门就是。#做那个人喜欢吃的菜。,,,,,,
1776,1.5,谢谢你花。,不用谢，当时说了玉兰花更适合妹妹，所以才送给你的。,1777,其实当时有些冒失了，毕竟不知道妹妹喜欢什么花。,1781,当时看妹妹收到花的时候有些惊讶，应该很开心吧。,1785
1777,1.5,那……你喜欢什么花？,牡丹吧，我喜欢很大的花。,1778,我喜欢红色的蔷薇，因为很好看。,1779,我应该会喜欢丁香吧，因为小时候的家里种了一片。,1780
1778,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1779,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1780,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1781,1.5,我，很喜欢玉兰。#那……你喜欢什么花？,牡丹吧，我喜欢很大的花。,1782,我喜欢红色的蔷薇，因为很好看。,1783,我应该会喜欢丁香吧，因为小时候的家里种了一片。,1784
1782,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1783,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1784,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1785,1.5,我那时候，是开心？#嗯……你喜欢什么花？,牡丹吧，我喜欢很大的花。,1786,我喜欢红色的蔷薇，因为很好看。,1787,我应该会喜欢丁香吧，因为小时候的家里种了一片。,1788
1786,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1787,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1788,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1789,1.5,谢谢你花。,不用谢，当时说了玉兰花更适合妹妹，所以才送给你的。,1790,其实当时有些冒失了，毕竟不知道妹妹喜欢什么花。,1794,当时看妹妹收到花的时候有些惊讶，应该很开心吧。,1798
1790,1.5,那……你喜欢什么花？,牡丹吧，我喜欢很大的花。,1791,我喜欢红色的蔷薇，因为很好看。,1792,我应该会喜欢丁香吧，因为小时候的家里种了一片。,1793
1791,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1792,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1793,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1794,1.5,我，很喜欢玉兰。#那……你喜欢什么花？,牡丹吧，我喜欢很大的花。,1795,我喜欢红色的蔷薇，因为很好看。,1796,我应该会喜欢丁香吧，因为小时候的家里种了一片。,1797
1795,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1796,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1797,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1798,1.5,我那时候，是开心？#嗯……你喜欢什么花？,牡丹吧，我喜欢很大的花。,1799,我喜欢红色的蔷薇，因为很好看。,1800,我应该会喜欢丁香吧，因为小时候的家里种了一片。,1801
1799,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1800,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1801,1.5,嗯……如果你想要的话，我的花圃里有。#来摘的时候，和丫鬟讲一声便是。,,,,,,
1802,1.5,今日常茹承认那吊坠是她请来的，听说是因为见到了虿鬼？,怕是有人装神弄鬼吧？,1803,别听人瞎说，这世上哪有什么鬼神？,1834,的确是见到了，如今还在后怕。,1865
1803,1.5,这么说二姐当真见到了？,可我总觉得不太对劲，回想起来那虿鬼很是眼熟。,1804,的确是见到了，可那鬼并没有想象中的可怕。,1814,我与常茹都没出事，见到的那个未必是什么鬼怪。,1824
1804,1.5,眼熟？？二姐跟鬼怪还交往颇深不成？,你是不是有什么事情瞒着我？,1805,那鬼不会就是你吧？,1808,说什么呢？晦气死了。,1811
1805,1.5,那我老实说了二姐可不要怪我，其是那日的虿鬼是我假扮的。,果然是你！我当时都要被你吓晕过去了。,1806,你为什么要这么做？,1807,,
1806,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1807,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1808,1.5,二姐真是好眼力，我都打扮成那样了也看得出？,果然是你！我当时都要被你吓晕过去了。,1809,你为什么要这么做？,1810,,
1809,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1810,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1811,1.5,二姐这是说我晦气呢？,那人难道是你？,1812,你这话什么意思？,1813,,
1812,1.5,二姐好眼力，这都被你看出来了。这次给常茹些教训，往后应该再不改欺负二姐了。,,,,,,
1813,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二姐可不要怪我。,,,,,,
1814,1.5,看来二姐跟这恶鬼很是熟悉啊。,你是不是有什么事情瞒着我？,1815,那鬼不会就是你吧？,1818,说什么呢？晦气死了。,1821
1815,1.5,那我老实说了二姐可不要怪我，其是那日的虿鬼是我假扮的。,果然是你！我当时都要被你吓晕过去了。,1816,你为什么要这么做？,1817,,
1816,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1817,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1818,1.5,二姐真是好眼力，我都打扮成那样了也看得出？,果然是你！我当时都要被你吓晕过去了。,1819,你为什么要这么做？,1820,,
1819,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1820,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1821,1.5,二姐这是说我晦气呢？,那人难道是你？,1822,你这话什么意思？,1823,,
1822,1.5,二姐好眼力，这都被你看出来了。这次给常茹些教训，往后应该再不改欺负二姐了。,,,,,,
1823,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二姐可不要怪我。,,,,,,
1824,1.5,那二姐觉得是什么，难道是二姐认识的人？,你是不是有什么事情瞒着我？,1825,那鬼不会就是你吧？,1828,说什么呢？晦气死了。,1831
1825,1.5,那我老实说了二姐可不要怪我，其是那日的虿鬼是我假扮的。,果然是你！我当时都要被你吓晕过去了。,1826,你为什么要这么做？,1827,,
1826,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1827,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1828,1.5,二姐真是好眼力，我都打扮成那样了也看得出？,果然是你！我当时都要被你吓晕过去了。,1829,你为什么要这么做？,1830,,
1829,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1830,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1831,1.5,二姐这是说我晦气呢？,那人难道是你？,1832,你这话什么意思？,1833,,
1832,1.5,二姐好眼力，这都被你看出来了。这次给常茹些教训，往后应该再不改欺负二姐了。,,,,,,
1833,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二姐可不要怪我。,,,,,,
1834,1.5,二姐这话说的，怎么让我觉得在掩饰这什么呢？#莫非真的遇到了什么不干净的东西？,可我总觉得不太对劲，回想起来那虿鬼很是眼熟。,1835,的确是见到了，可那鬼并没有想象中的可怕。,1845,我与常茹都没出事，见到的那个未必是什么鬼怪。,1855
1835,1.5,眼熟？？二姐跟鬼怪还交往颇深不成？,你是不是有什么事情瞒着我？,1836,那鬼不会就是你吧？,1839,说什么呢？晦气死了。,1842
1836,1.5,那我老实说了二姐可不要怪我，其是那日的虿鬼是我假扮的。,果然是你！我当时都要被你吓晕过去了。,1837,你为什么要这么做？,1838,,
1837,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1838,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1839,1.5,二姐真是好眼力，我都打扮成那样了也看得出？,果然是你！我当时都要被你吓晕过去了。,1840,你为什么要这么做？,1841,,
1840,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1841,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1842,1.5,二姐这是说我晦气呢？,那人难道是你？,1843,你这话什么意思？,1844,,
1843,1.5,二姐好眼力，这都被你看出来了。这次给常茹些教训，往后应该再不改欺负二姐了。,,,,,,
1844,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二姐可不要怪我。,,,,,,
1845,1.5,看来二姐跟这恶鬼很是熟悉啊。,你是不是有什么事情瞒着我？,1846,那鬼不会就是你吧？,1849,说什么呢？晦气死了。,1852
1846,1.5,那我老实说了二姐可不要怪我，其是那日的虿鬼是我假扮的。,果然是你！我当时都要被你吓晕过去了。,1847,你为什么要这么做？,1848,,
1847,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1848,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1849,1.5,二姐真是好眼力，我都打扮成那样了也看得出？,果然是你！我当时都要被你吓晕过去了。,1850,你为什么要这么做？,1851,,
1850,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1851,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1852,1.5,二姐这是说我晦气呢？,那人难道是你？,1853,你这话什么意思？,1854,,
1853,1.5,二姐好眼力，这都被你看出来了。这次给常茹些教训，往后应该再不改欺负二姐了。,,,,,,
1854,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二姐可不要怪我。,,,,,,
1855,1.5,那二姐觉得是什么，难道是二姐认识的人？,你是不是有什么事情瞒着我？,1856,那鬼不会就是你吧？,1859,说什么呢？晦气死了。,1862
1856,1.5,那我老实说了二姐可不要怪我，其是那日的虿鬼是我假扮的。,果然是你！我当时都要被你吓晕过去了。,1857,你为什么要这么做？,1858,,
1857,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1858,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1859,1.5,二姐真是好眼力，我都打扮成那样了也看得出？,果然是你！我当时都要被你吓晕过去了。,1860,你为什么要这么做？,1861,,
1860,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1861,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1862,1.5,二姐这是说我晦气呢？,那人难道是你？,1863,你这话什么意思？,1864,,
1863,1.5,二姐好眼力，这都被你看出来了。这次给常茹些教训，往后应该再不改欺负二姐了。,,,,,,
1864,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二姐可不要怪我。,,,,,,
1865,1.5,那个明明是我胡诌的，怎么会真的见到？,可我总觉得不太对劲，回想起来那虿鬼很是眼熟。,1866,的确是见到了，可那鬼并没有想象中的可怕。,1876,我与常茹都没出事，见到的那个未必是什么鬼怪。,1886
1866,1.5,眼熟？？二姐跟鬼怪还交往颇深不成？,你是不是有什么事情瞒着我？,1867,那鬼不会就是你吧？,1870,说什么呢？晦气死了。,1873
1867,1.5,那我老实说了二姐可不要怪我，其是那日的虿鬼是我假扮的。,果然是你！我当时都要被你吓晕过去了。,1868,你为什么要这么做？,1869,,
1868,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1869,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1870,1.5,二姐真是好眼力，我都打扮成那样了也看得出？,果然是你！我当时都要被你吓晕过去了。,1871,你为什么要这么做？,1872,,
1871,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1872,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1873,1.5,二姐这是说我晦气呢？,那人难道是你？,1874,你这话什么意思？,1875,,
1874,1.5,二姐好眼力，这都被你看出来了。这次给常茹些教训，往后应该再不改欺负二姐了。,,,,,,
1875,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二姐可不要怪我。,,,,,,
1876,1.5,看来二姐跟这恶鬼很是熟悉啊。,你是不是有什么事情瞒着我？,1877,那鬼不会就是你吧？,1880,说什么呢？晦气死了。,1883
1877,1.5,那我老实说了二姐可不要怪我，其是那日的虿鬼是我假扮的。,果然是你！我当时都要被你吓晕过去了。,1878,你为什么要这么做？,1879,,
1878,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1879,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1880,1.5,二姐真是好眼力，我都打扮成那样了也看得出？,果然是你！我当时都要被你吓晕过去了。,1881,你为什么要这么做？,1882,,
1881,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1882,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1883,1.5,二姐这是说我晦气呢？,那人难道是你？,1884,你这话什么意思？,1885,,
1884,1.5,二姐好眼力，这都被你看出来了。这次给常茹些教训，往后应该再不改欺负二姐了。,,,,,,
1885,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二姐可不要怪我。,,,,,,
1886,1.5,那二姐觉得是什么，难道是二姐认识的人？,你是不是有什么事情瞒着我？,1887,那鬼不会就是你吧？,1890,说什么呢？晦气死了。,1893
1887,1.5,那我老实说了二姐可不要怪我，其是那日的虿鬼是我假扮的。,果然是你！我当时都要被你吓晕过去了。,1888,你为什么要这么做？,1889,,
1888,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1889,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1890,1.5,二姐真是好眼力，我都打扮成那样了也看得出？,果然是你！我当时都要被你吓晕过去了。,1891,你为什么要这么做？,1892,,
1891,1.5,二姐别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二姐了。,,,,,,
1892,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二姐了。,,,,,,
1893,1.5,二姐这是说我晦气呢？,那人难道是你？,1894,你这话什么意思？,1895,,
1894,1.5,二姐好眼力，这都被你看出来了。这次给常茹些教训，往后应该再不改欺负二姐了。,,,,,,
1895,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二姐可不要怪我。,,,,,,
1896,1.5,今日常茹承认那吊坠是她请来的，听说是因为见到了虿鬼？,怕是有人装神弄鬼吧？,1897,别听人瞎说，这世上哪有什么鬼神？,1928,的确是见到了，如今还在后怕。,1959
1897,1.5,这么说二哥当真见到了？,可我总觉得不太对劲，回想起来那虿鬼很是眼熟。,1898,的确是见到了，可那鬼并没有想象中的可怕。,1908,我与常茹都没出事，见到的那个未必是什么鬼怪。,1918
1898,1.5,眼熟？？二哥跟鬼怪还交往颇深不成？,你是不是有什么事情瞒着我？,1899,那鬼不会就是你吧？,1902,说什么呢？晦气死了。,1905
1899,1.5,那我老实说了二哥可不要怪我，其是那日的虿鬼是我假扮的。,我就猜到是你了。,1900,你为什么要这么做？,1901,,
1900,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1901,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1902,1.5,二哥真是好眼力，我都打扮成那样了也看得出？,我就猜到是你了。,1903,你为什么要这么做？,1904,,
1903,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1904,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1905,1.5,二哥这是说我晦气呢？,那人难道是你？,1906,你这话什么意思？,1907,,
1906,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1907,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1908,1.5,看来二哥跟这恶鬼很是熟悉啊。,你是不是有什么事情瞒着我？,1909,那鬼不会就是你吧？,1912,说什么呢？晦气死了。,1915
1909,1.5,那我老实说了二哥可不要怪我，其是那日的虿鬼是我假扮的。,我就猜到是你了。,1910,你为什么要这么做？,1911,,
1910,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1911,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1912,1.5,二哥真是好眼力，我都打扮成那样了也看得出？,我就猜到是你了。,1913,你为什么要这么做？,1914,,
1913,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1914,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1915,1.5,二哥这是说我晦气呢？,那人难道是你？,1916,你这话什么意思？,1917,,
1916,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1917,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1918,1.5,那二哥觉得是什么，难道是二哥认识的人？,你是不是有什么事情瞒着我？,1919,那鬼不会就是你吧？,1922,说什么呢？晦气死了。,1925
1919,1.5,那我老实说了二哥可不要怪我，其是那日的虿鬼是我假扮的。,我就猜到是你了。,1920,你为什么要这么做？,1921,,
1920,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1921,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1922,1.5,二哥真是好眼力，我都打扮成那样了也看得出？,我就猜到是你了。,1923,你为什么要这么做？,1924,,
1923,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1924,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1925,1.5,二哥这是说我晦气呢？,那人难道是你？,1926,你这话什么意思？,1927,,
1926,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1927,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二哥可不要怪我。,,,,,,
1928,1.5,二哥这话说的，怎么让我觉得在掩饰这什么呢？#莫非真的遇到了什么不干净的东西？,可我总觉得不太对劲，回想起来那虿鬼很是眼熟。,1929,的确是见到了，可那鬼并没有想象中的可怕。,1939,我与常茹都没出事，见到的那个未必是什么鬼怪。,1949
1929,1.5,眼熟？？二哥跟鬼怪还交往颇深不成？,你是不是有什么事情瞒着我？,1930,那鬼不会就是你吧？,1933,说什么呢？晦气死了。,1936
1930,1.5,那我老实说了二哥可不要怪我，其是那日的虿鬼是我假扮的。,我就猜到是你了。,1931,你为什么要这么做？,1932,,
1931,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1932,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1933,1.5,二哥真是好眼力，我都打扮成那样了也看得出？,我就猜到是你了。,1934,你为什么要这么做？,1935,,
1934,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1935,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1936,1.5,二哥这是说我晦气呢？,那人难道是你？,1937,你这话什么意思？,1938,,
1937,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1938,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二哥可不要怪我。,,,,,,
1939,1.5,看来二哥跟这恶鬼很是熟悉啊。,你是不是有什么事情瞒着我？,1940,那鬼不会就是你吧？,1943,说什么呢？晦气死了。,1946
1940,1.5,那我老实说了二哥可不要怪我，其是那日的虿鬼是我假扮的。,我就猜到是你了。,1941,你为什么要这么做？,1942,,
1941,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1942,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1943,1.5,二哥真是好眼力，我都打扮成那样了也看得出？,我就猜到是你了。,1944,你为什么要这么做？,1945,,
1944,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1945,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1946,1.5,二哥这是说我晦气呢？,那人难道是你？,1947,你这话什么意思？,1948,,
1947,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1948,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二哥可不要怪我。,,,,,,
1949,1.5,那二哥觉得是什么，难道是二哥认识的人？,你是不是有什么事情瞒着我？,1950,那鬼不会就是你吧？,1953,说什么呢？晦气死了。,1956
1950,1.5,那我老实说了二哥可不要怪我，其是那日的虿鬼是我假扮的。,我就猜到是你了。,1951,你为什么要这么做？,1952,,
1951,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢欺负二哥了。,,,,,,
1952,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1953,1.5,二哥真是好眼力，我都打扮成那样了也看得出？,我就猜到是你了。,1954,你为什么要这么做？,1955,,
1954,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢了。,,,,,,
1955,1.5,我只是想给她一点儿教训罢了，常茹往后应该再也不敢欺负二哥了。,,,,,,
1956,1.5,二哥这是说我晦气呢？,那人难道是你？,1957,你这话什么意思？,1958,,
1957,1.5,二哥别生气，我只是想给她一点儿教训罢了。我想常茹往后应该再也不敢了。,,,,,,
1958,1.5,……其实那日的虿鬼是我假扮的。不过是只是想给常茹一些教训，二哥可不要怪我。,,,,,,
